message_id,chat_id,text,sender,timestamp,images
msg_001,chat_1705780800000_abc123,"Hello! I'm your AI assistant for United Airlines. I can help you create reports for customer complaints, service issues, or any airline-related problems. You can upload images and I'll analyze them to help generate comprehensive reports. What type of issue would you like to report today?",ai,2024-01-15T09:00:00Z,
msg_002,chat_1705780800000_abc123,"I need to report damaged luggage that arrived at my destination airport.",user,2024-01-15T09:05:00Z,
msg_003,chat_1705780800000_abc123,"I understand your concern. Let me help you document this issue properly. Could you provide more details about when this occurred?",ai,2024-01-15T09:06:00Z,
msg_004,chat_1705780800000_abc123,"It happened yesterday when I arrived at LAX. My suitcase was completely torn and my clothes were damaged.",user,2024-01-15T09:08:00Z,
msg_005,chat_1705780800000_abc123,"I can see the images you've uploaded. I'm analyzing them to help with your report. Could you describe what these images show?",ai,2024-01-15T09:10:00Z,
msg_006,chat_1705780800000_abc123,"The first image shows the torn suitcase, and the second shows my damaged clothes inside.",user,2024-01-15T09:12:00Z,
msg_007,chat_1705780800000_abc123,"Thank you for reporting this. I'm analyzing the information you've provided. Is there anything else you'd like to add?",ai,2024-01-15T09:13:00Z,
msg_008,chat_1705780800000_abc123,"Yes, I also had some electronics that were broken due to the rough handling.",user,2024-01-15T09:15:00Z,
msg_009,chat_1705867200000_def456,"Hello! I'm your AI assistant for United Airlines. I can help you create reports for customer complaints, service issues, or any airline-related problems. You can upload images and I'll analyze them to help generate comprehensive reports. What type of issue would you like to report today?",ai,2024-01-14T13:00:00Z,
msg_010,chat_1705867200000_def456,"My luggage is missing. I can't find it at the carousel.",user,2024-01-14T13:05:00Z,
msg_011,chat_1705867200000_def456,"I understand your concern. Let me help you document this issue properly. Could you provide more details about when this occurred?",ai,2024-01-14T13:06:00Z,
msg_012,chat_1705867200000_def456,"I just arrived from my international flight and my bag is not here.",user,2024-01-14T13:08:00Z,
msg_013,chat_1705867200000_def456,"I can see the images you've uploaded. I'm analyzing them to help with your report. Could you describe what these images show?",ai,2024-01-14T13:10:00Z,
msg_014,chat_1705867200000_def456,"That's my luggage tag and the empty carousel where my bag should be.",user,2024-01-14T13:12:00Z,
msg_015,chat_1705867200000_def456,"Thank you for reporting this. I'm analyzing the information you've provided. Is there anything else you'd like to add?",ai,2024-01-14T13:13:00Z,
msg_016,chat_1705867200000_def456,"I've been waiting for over an hour and still no sign of my luggage.",user,2024-01-14T13:15:00Z,
